Home,Away,Winner Code
Liverpool,Everton,1
Arsenal,Manchester City,1
Brighton,Liverpool,3
West Ham,Newcastle,3
Wolves,Aston Villa,3
Crystal Palace,Nottingham,3
Burnley,Chelsea,2
Everton,Bournemouth,1
Fulham,Sheffield Utd,1
Manchester Utd,Brentford,1
Luton,Tottenham,2
Luton,Burnley,2
Fulham,Chelsea,2
Nottingham,Brentford,3
Tottenham,Liverpool,1
Bournemouth,Arsenal,2
Everton,Luton,2
Manchester Utd,Crystal Palace,2
Newcastle,Burnley,1
West Ham,Sheffield Utd,1
Wolves,Manchester City,1
Aston Villa,Brighton,1
Sheffield Utd,Newcastle,2
Arsenal,Tottenham,3
Brighton,Bournemouth,1
Chelsea,Aston Villa,2
Liverpool,West Ham,1
Burnley,Manchester Utd,2
Brentford,Everton,2
Crystal Palace,Fulham,3
Luton,Wolves,3
Manchester City,Nottingham,1
Nottingham,Burnley,3
Everton,Arsenal,2
Bournemouth,Chelsea,3
Newcastle,Brentford,1
Aston Villa,Crystal Palace,1
Fulham,Luton,1
Manchester Utd,Brighton,2
Tottenham,Sheffield Utd,1
West Ham,Manchester City,2
Wolves,Liverpool,2
Arsenal,Manchester Utd,1
Crystal Palace,Wolves,1
Liverpool,Aston Villa,1
Brighton,Newcastle,1
Brentford,Bournemouth,3
Burnley,Tottenham,2
Chelsea,Nottingham,2
Manchester City,Fulham,1
Sheffield Utd,Everton,3
Luton,West Ham,2
Newcastle,Liverpool,2
Burnley,Aston Villa,2
Sheffield Utd,Manchester City,2
Brighton,West Ham,2
Arsenal,Fulham,3
Brentford,Crystal Palace,3
Everton,Wolves,2
Manchester Utd,Nottingham,1
Bournemouth,Tottenham,2
Chelsea,Luton,1
Crystal Palace,Arsenal,2
West Ham,Chelsea,1
Aston Villa,Everton,1
Manchester City,Newcastle,1
Tottenham,Manchester Utd,1
Fulham,Brentford,2
Liverpool,Bournemouth,1
Wolves,Brighton,2
Nottingham,Sheffield Utd,1
Manchester Utd,Wolves,1
Chelsea,Liverpool,3
Brentford,Tottenham,3
Newcastle,Aston Villa,1
Bournemouth,West Ham,3
Brighton,Luton,1
Everton,Fulham,2
Sheffield Utd,Crystal Palace,2
Arsenal,Nottingham,1
Burnley,Manchester City,2
